vocab_size,method,method_display,K,num_seeds,cv_wiki,llm_rating,inverted_rbo,purity,training_time,run_id,run_name
500,bertopic,BERTopic,25,5,0.34263631999999994,2.2960000000000003,0.970151364094056,0.13321319968464918,61.743089294433595,011agrmf,bertopic_K25
500,bertopic,BERTopic,50,5,0.35023996,2.272,0.97839706555973,0.21618425498366936,60.88578805923462,999f2apy,bertopic_K50
500,bertopic,BERTopic,75,5,0.3487241866666667,2.242666666666667,0.9807901515779024,0.2854600743326951,57.40332503318787,xe8r3kc0,bertopic_K75
500,bertopic,BERTopic,100,5,0.35136426,2.2,0.982195275386182,0.3089762360626197,62.40771589279175,7kdstfwq,bertopic_K100
500,combined,CombinedTM,25,5,0.35341664,2.48,0.9855879776389004,0.2777227165221309,143.67381806373595,wcft43k0,combined_K25
500,combined,CombinedTM,50,5,0.35536888,2.5,0.9799211782923282,0.298074107444532,126.08277139663696,ethusiia,combined_K50
500,combined,CombinedTM,75,5,0.35546456,2.416,0.9754763076483456,0.30153170402072305,124.2253786087036,htmnvud8,combined_K75
500,combined,CombinedTM,100,5,0.3548897200000001,2.382,0.9720320497471306,0.30166685437549273,125.3956425189972,qqc9hl6x,combined_K100
500,ecrtm,ECRTM,25,5,0.35450856000000003,2.032,0.9914219403399817,0.18744227953598375,719.2112746238708,a19dc6pq,ecrtm_K25
500,ecrtm,ECRTM,50,5,0.35104952,2.0760000000000005,0.9905284752007092,0.2036715846379097,700.3004529953002,7vij4u6h,ecrtm_K50
500,ecrtm,ECRTM,75,5,0.3621950666666667,2.064,0.9892184981988952,0.2352404550061944,716.3844478607177,4mevoct4,ecrtm_K75
500,ecrtm,ECRTM,100,5,0.35404231999999997,2.084,0.9879305149330608,0.23160265795697713,512.3951857089996,3vd00uyk,ecrtm_K100
500,etm,ETM,25,5,0.32009560000000004,2.3039999999999994,0.8530118073934412,0.26599842324586104,61.15433411598205,p2f3urvr,etm_K25
500,etm,ETM,50,5,0.31516252,2.292,0.8488998506338745,0.27718211510305213,60.74714345932007,7aiewdcc,etm_K50
500,etm,ETM,75,5,0.3230211466666667,2.269333333333333,0.8623076378256966,0.26488343281901117,60.953653240203856,1xejm84n,etm_K75
500,etm,ETM,100,5,0.3266422,2.2300000000000004,0.8713112922867419,0.2618650748958216,60.33748173713684,bw7ivbye,etm_K100
500,fastopic,FASTopic,25,5,0.35434968,2.456,0.9929953555533264,0.25605360964072527,31.731856727600096,6vt2ja6l,fastopic_K25
500,fastopic,FASTopic,50,5,0.35364632,2.372,0.9915087731961664,0.2765063633292037,31.39924373626709,9kh3jyxy,fastopic_K50
500,fastopic,FASTopic,75,5,0.3516110933333334,2.2426666666666666,0.9791953827861468,0.28664263993692984,32.071994161605836,x1xssh8l,fastopic_K75
500,fastopic,FASTopic,100,5,0.35400481999999994,2.1699999999999995,0.9714276304365846,0.2930622817884897,33.09966702461243,4qvh332y,fastopic_K100
500,generative_ERNIE-4.5-0.3B-PT,Generative (ERNIE-4.5-0.3B-PT),25,5,0.35006679999999996,2.696,0.9768825947902366,0.4621352011036825,94.86796498298644,l59kwjsh,generative_ERNIE-4.5-0.3B-PT_K25
500,generative_ERNIE-4.5-0.3B-PT,Generative (ERNIE-4.5-0.3B-PT),50,5,0.34782448,2.74,0.9714362038612746,0.4825214899713467,95.53678092956542,np13gc6i,generative_ERNIE-4.5-0.3B-PT_K50
500,generative_ERNIE-4.5-0.3B-PT,Generative (ERNIE-4.5-0.3B-PT),75,5,0.34439314666666665,2.709333333333334,0.9696163723075368,0.4926668789132973,96.3454647064209,qbj0enss,generative_ERNIE-4.5-0.3B-PT_K75
500,generative_ERNIE-4.5-0.3B-PT,Generative (ERNIE-4.5-0.3B-PT),100,5,0.34046380000000004,2.666,0.9689566833116666,0.4966358909052319,96.30580019950868,m6lkef7l,generative_ERNIE-4.5-0.3B-PT_K100
500,lda,LDA,25,5,0.33904776000000003,2.3199999999999994,0.9564403574948817,0.23859668881630816,7.085493469238282,2wdaqs92,lda_K25
500,lda,LDA,50,5,0.3356386400000001,2.1879999999999997,0.9658423900296494,0.2467169726320532,7.86086072921753,f658rqmz,lda_K50
500,lda,LDA,75,5,0.33768565333333334,2.1306666666666665,0.965226736144609,0.2509178961594774,9.803943252563476,utcnkgvx,lda_K75
500,lda,LDA,100,5,0.33365408,2.0940000000000003,0.9635251480596024,0.24780943799977476,12.05253529548645,m272dffy,lda_K100
500,prodlda,ProdLDA,25,5,0.35348176000000003,2.384,0.9857919325572322,0.2585651537335286,78.62070441246033,epymujiz,prodlda_K25
500,prodlda,ProdLDA,50,5,0.35319848,2.36,0.9797364762337584,0.27196756391485527,78.97025661468506,pp3wmm7j,prodlda_K50
500,prodlda,ProdLDA,75,5,0.3503703733333333,2.277333333333333,0.9766983166640968,0.2743439576528888,80.5508460521698,oiu7gpbo,prodlda_K75
500,prodlda,ProdLDA,100,5,0.34645228000000006,2.22,0.9740634062321878,0.2735668431129632,79.72640972137451,lo05h0dy,prodlda_K100
500,zeroshot,ZeroShotTM,25,5,0.35423672,2.512,0.9876673233066576,0.2771483275143597,100.59428205490111,ypgrwrva,zeroshot_K25
500,zeroshot,ZeroShotTM,50,5,0.3526730799999999,2.448,0.9821086610698714,0.2976799189097871,101.58322792053222,hi1ckhns,zeroshot_K50
500,zeroshot,ZeroShotTM,75,5,0.35578874666666666,2.3600000000000003,0.9780818159756672,0.3117130307467057,101.33165674209594,imntq0lg,zeroshot_K75
500,zeroshot,ZeroShotTM,100,5,0.35290340000000003,2.3280000000000003,0.9759960836421272,0.31017006419641857,101.67312736511232,xh1eut6p,zeroshot_K100
1000,bertopic,BERTopic,25,5,0.35933287999999997,2.456,0.9823088059229048,0.15453174736136704,57.89675626754761,to59v27y,bertopic_K25
1000,bertopic,BERTopic,50,5,0.35305092,2.416,0.986141601104958,0.2170994583123918,59.6534912109375,3ygq0vz3,bertopic_K50
1000,bertopic,BERTopic,75,5,0.3494277066666666,2.36,0.9887903896064608,0.33286424303345064,60.61302123069763,xug6m6ll,bertopic_K75
1000,bertopic,BERTopic,100,5,0.34555774000000006,2.372,0.989736278934206,0.37487016250628247,62.59230165481567,ji2qz5o1,bertopic_K100
